;estado;cidade;pib;populacao;pib_percapita
1578;TOCANTINS;Taguatinga;110298.09375;14655;7526.31005859
1579;PERNAMBUCO;Salgueiro;315104.03125;55435;5684.20996094
1580;SÃO PAULO;Santa Ernestina;43545.33984375;5618;7751.04003906
1581;MARANHÃO;Magalhães de Almeida;59104.46484375;14808;3991.38989258
1582;MINAS GERAIS;Itapagipe;234536.9375;15043;15591.09960938
1583;SÃO PAULO;Santo Antônio do Jardim;78237.4609375;5785;13524.19042969
1584;BAHIA;Ourolândia;76238.53125;17080;4463.60986328
1585;SANTA CATARINA;Palhoça;1693864.25;130878;12942.30957031
1586;SÃO PAULO;Macaubal;84924.5390625;7672;11069.41015625
1587;GOIÁS;Caldazinha;33231.0546875;3341;9946.44042969
1588;MINAS GERAIS;Itamonte;262661.75;14611;17976.99023438
1589;BAHIA;Aracatu;43216.1328125;14316;3018.72998047
1590;PERNAMBUCO;Pombos;106317.171875;22120;4806.37988281
1591;PERNAMBUCO;Tracunhaém;63237.58984375;13265;4767.25
1592;PARAÍBA;Catolé do Rocha;146767.578125;28468;5155.52978516
1593;MATO GROSSO;Itanhangá;129650.5390625;5061;25617.5703125
1594;MINAS GERAIS;São Pedro do Suaçuí;31461.02148438;5925;5309.87988281
1595;SANTA CATARINA;Bocaina do Sul;48069.1328125;3128;15367.37011719
1596;PERNAMBUCO;João Alfredo;121253.921875;29875;4058.70996094
1597;BAHIA;Vitória da Conquista;3142676.75;318901;9854.70996094
1598;PERNAMBUCO;Chã Grande;92091.6328125;17924;5137.89990234
1599;RONDÔNIA;Buritis;326336.875;34693;9406.41992188
1600;PARAÍBA;Solânea;108521.9921875;27951;3882.58007812
1601;MINAS GERAIS;Amparo do Serra;25285.09570312;5362;4715.60986328
1602;PARÁ;Rondon do Pará;244986.21875;47772;5128.24023438
1603;SÃO PAULO;Vargem Grande do Sul;435658.78125;39160;11125.09960938
1604;SÃO PAULO;Marapoama;81859.9609375;2780;29446.02929688
1605;BAHIA;Condeúba;64649.53125;17210;3756.51000977
1606;BAHIA;Jacobina;523242.1875;79013;6622.22998047
1607;RIO GRANDE DO SUL;Piratini;191053.515625;21180;9020.46972656
1608;RIO GRANDE DO SUL;Crissiumal;168315.0625;15096;11149.65039062
1609;MINAS GERAIS;Senhora dos Remédios;48332.01171875;10588;4564.79003906
1610;GOIÁS;Leopoldo de Bulhões;90110.171875;9518;9467.33984375
1611;RIO GRANDE DO NORTE;Parnamirim;1963383.5;184222;10657.70019531
1612;MINAS GERAIS;Medeiros;51101.86328125;3398;15038.80957031
1613;PARANÁ;Brasilândia do Sul;49819.625;3260;15282.08984375
1614;PARANÁ;Marialva;430093.0625;31397;13698.54003906
1615;BAHIA;Mascote;57532.8671875;16590;3467.91992188
1616;SÃO PAULO;Taubaté;8324691.0;273426;30445.859375
1617;SÃO PAULO;Motuca;68719.6796875;4691;14649.25976562
1618;SÃO PAULO;São Sebastião;3043796.25;73631;41338.51171875
1619;PARÁ;Soure;81680.953125;22459;3636.88989258
1620;CEARÁ;Morrinhos;68998.65625;22695;3040.26000977
1621;RIO GRANDE DO SUL;Roque Gonzales;86025.9296875;7394;11634.55957031
1622;ALAGOAS;Campestre;25780.65820312;6178;4172.97998047
1623;PARANÁ;Enéas Marques;81526.875;6066;13439.96972656
1624;PARÁ;Gurupá;79299.140625;25511;3108.42993164
1625;PIAUÍ;Dom Expedito Lopes;31609.2890625;6793;4653.20996094
1626;RIO GRANDE DO NORTE;Passagem;13935.78613281;2703;5155.66992188
1627;SERGIPE;Aracaju;7069448.0;544039;12994.37988281
1628;SÃO PAULO;Orlândia;787616.25;37534;20984.08007812
1629;MARANHÃO;Junco do Maranhão;28271.05273438;3950;7157.22998047
1630;MATO GROSSO;Juruena;91460.1015625;9595;9532.05957031
1631;BAHIA;Cardeal da silva;48083.140625;8618;5579.39013672
1632;MARANHÃO;Pinheiro;316422.09375;77182;4099.68994141
1633;BAHIA;Jaguaquara;246394.6875;48206;5111.29003906
1634;SÃO PAULO;Iracemápolis;520704.3125;19700;26431.68945312
1635;RIO GRANDE DO SUL;Selbach;96666.890625;4912;19679.74023438
1636;PARANÁ;Santa Izabel do Oeste;122608.90625;11747;10437.46972656
1637;SANTA CATARINA;Princesa;33004.6796875;2687;12283.09960938
1638;CEARÁ;Pentecoste;149833.015625;35166;4260.74023438
1639;BAHIA;Gandu;173949.265625;31819;5466.83984375
1640;SÃO PAULO;Cajati;472912.3125;28936;16343.38964844
1641;GOIÁS;Goiatuba;708512.5625;32304;21932.66015625
1642;RIO GRANDE DO NORTE;Ipueira;13287.04785156;2115;6282.29003906
1643;MARANHÃO;Luís Domingues;28483.0703125;6997;4070.75
1644;MINAS GERAIS;Guaraciama;23972.3203125;4728;5070.29003906
1645;SÃO PAULO;Salmourão;53295.08203125;4779;11151.9296875
1646;SÃO PAULO;Santo Antônio do Pinhal;56594.77734375;6896;8206.90039062
1647;SANTA CATARINA;Leoberto Leal;57065.5078125;3674;15532.25976562
1648;BAHIA;Itaguaçu da Bahia;49661.08984375;13269;3742.63989258
1649;RIO DE JANEIRO;Duas Barras;145481.40625;10891;13357.95019531
1650;SÃO PAULO;Queluz;78831.6953125;11197;7040.43017578
1651;RIO GRANDE DO SUL;Glorinha;188674.734375;7531;25053.08007812
1652;SERGIPE;Pinhão;31870.4765625;5809;5486.39990234
1653;PERNAMBUCO;São Lourenço da Mata;430601.3125;99945;4308.37988281
1654;BAHIA;Cândido Sales;93716.921875;27180;3448.01000977
1655;AMAZONAS;Codajás;84273.59375;16291;5173.02001953
1656;MINAS GERAIS;Poço Fundo;125487.59375;15916;7884.37011719
1657;MINAS GERAIS;Timóteo;1693002.375;79813;21212.109375
1658;PIAUÍ;Francisco Macedo;9199.64355469;2315;3973.92993164
1659;SANTA CATARINA;Indaial;1083196.5;50917;21273.76953125
1660;BAHIA;Cícero Dantas;119276.578125;31832;3747.07006836
1661;MINAS GERAIS;Alto Rio Doce;65097.45703125;12778;5094.49023438
1662;MINAS GERAIS;Materlândia;23538.46875;4772;4932.62011719
1663;PERNAMBUCO;Sanharó;82603.203125;18723;4411.85986328
1664;SÃO PAULO;Tapiratiba;161548.0625;12410;13017.5703125
1665;MARANHÃO;Santa Quitéria do Maranhão;92080.375;29551;3115.97998047
1666;MINAS GERAIS;Ouro Preto;2492686.75;69495;35868.578125
1667;CEARÁ;Parambu;103936.859375;32231;3224.75
1668;PARANÁ;Abatiá;55714.39453125;7928;7027.54980469
1669;SÃO PAULO;Orindiúva;94819.8359375;5406;17539.74023438
1670;BAHIA;Barra do Mendes;49816.65234375;14459;3445.37011719
1671;RIO GRANDE DO SUL;Capão Bonito do Sul;48154.8359375;1877;25655.2109375
1672;SÃO PAULO;Vera Cruz;95465.484375;9952;9592.58984375
1673;RIO GRANDE DO SUL;Pareci Novo;52567.12109375;3232;16264.58007812
1674;RIO GRANDE DO NORTE;Severiano Melo;26589.734375;5224;5089.91992188
1675;ALAGOAS;Jacaré dos Homens;30879.77734375;5902;5232.08984375
1676;BAHIA;Jequié;1552451.5;150541;10312.48046875
1677;SÃO PAULO;Pilar do Sul;293537.84375;28455;10315.86035156
1678;CEARÁ;Catunda;37783.76171875;11198;3374.14990234
1679;PARANÁ;Rio Azul;150128.484375;13760;10910.5
1680;CEARÁ;Varjota;76601.1171875;17802;4302.95019531
1681;RIO DE JANEIRO;Macaé;7057281.5;194413;36300.4609375
1682;GOIÁS;Rubiataba;160824.359375;18618;8638.11035156
1683;PERNAMBUCO;Carnaubeira da Penha;44609.3125;12451;3582.79003906
1684;MINAS GERAIS;Santana do Garambéu;13781.93164062;2205;6250.31005859
1685;RIO DE JANEIRO;Porto Real;3502626.5;16253;215506.453125
1686;CEARÁ;Tauá;242443.71875;56639;4280.50976562
1687;MINAS GERAIS;Resende Costa;66597.8359375;10941;6087.0
1688;MINAS GERAIS;Aimorés;251976.84375;24825;10150.12011719
1689;GOIÁS;Ouro Verde de Goiás;36711.6953125;4599;7982.54003906
1690;PARAÍBA;Santa Helena;24999.93164062;6198;4033.55004883
1691;SÃO PAULO;Turiúba;39628.15625;2040;19425.5703125
1692;MATO GROSSO;Diamantino;908566.25;18989;47846.98046875
1693;SÃO PAULO;Ribeirão Pires;1631338.625;112011;14564.08984375
1694;TOCANTINS;Lavandeira;12126.01464844;1683;7205.0
1695;RIO GRANDE DO SUL;Muçum;79309.03125;4685;16928.2890625
1696;MATO GROSSO;Apiacás;148853.84375;8381;17760.86914062
1697;TOCANTINS;Abreulândia;17476.70117188;2321;7529.81982422
1698;PERNAMBUCO;Belém de Maria;37656.3515625;9703;3880.89990234
1699;MINAS GERAIS;Campo Florido;245850.359375;7105;34602.44140625
1700;SÃO PAULO;Guapiaçu;389872.96875;17938;21734.47070312
1701;PARAÍBA;Caaporã;286072.875;20064;14258.01953125
1702;SÃO PAULO;Bananal;88336.4296875;10822;8162.66992188
1703;SÃO PAULO;Morungaba;232642.84375;13305;17485.36914062
1704;PARAÍBA;Araçagi;100224.0078125;17839;5618.25
1705;MARANHÃO;São João do Carú;39601.421875;12511;3165.33007812
1706;MINAS GERAIS;Camacho;44854.86328125;3229;13891.25976562
1707;MINAS GERAIS;Olímpio Noronha;22509.8046875;2655;8478.26953125
1708;RIO GRANDE DO SUL;Chiapetta;76856.4765625;4094;18772.94921875
1709;GOIÁS;São Miguel do Passa Quatro;51348.8828125;3856;13316.62011719
1710;PERNAMBUCO;Ipojuca;7082403.0;75512;93791.75
1711;CEARÁ;Uruburetama;105931.96875;20627;5135.60009766
1712;RIO GRANDE DO SUL;Chuvisca;69552.2109375;5159;13481.71972656
1713;MARANHÃO;Conceição do Lago-Açu;48036.515625;14909;3221.97998047
1714;MINAS GERAIS;Ipuiúna;110897.609375;9549;11613.53027344
1715;BAHIA;Aporá;55787.8046875;18738;2977.26000977
1716;MARANHÃO;Gonçalves Dias;50201.11328125;16911;2968.55004883
1717;SÃO PAULO;Alfredo Marcondes;38104.7421875;4055;9396.98046875
1718;PARÁ;Anajás;62534.5625;27386;2283.44995117
1719;MINAS GERAIS;Divisa Alegre;42667.08984375;6235;6843.16015625
1720;BAHIA;Guaratinga;102757.34375;22960;4475.49023438
1721;SÃO PAULO;Serra Azul;73476.2578125;10121;7259.77978516
1722;PARAÍBA;Cajazeirinhas;14881.45996094;3168;4697.43017578
1723;PIAUÍ;Socorro do Piauí;13982.046875;4733;2954.15991211
1724;MATO GROSSO;Nova Marilândia;38595.01171875;2345;16458.4296875
1725;SÃO PAULO;Palestina;137605.546875;11354;12119.5703125
1726;PARAÍBA;São José dos Ramos;23567.55078125;5702;4133.20996094
1727;CEARÁ;Ererê;24669.0703125;7332;3364.58007812
1728;BAHIA;Maracás;125397.140625;35990;3484.2199707
1729;MINAS GERAIS;Montezuma;29338.85351562;7677;3821.65991211
1730;RIO GRANDE DO NORTE;Monte das Gameleiras;11909.32226562;2449;4862.93017578
1731;PARÁ;Ourém;49183.3671875;15841;3104.81005859
1732;SÃO PAULO;Nantes;86357.6171875;2662;32440.88085938
1733;SÃO PAULO;Campos do Jordão;546444.5625;46505;11750.23046875
1734;SANTA CATARINA;Paraíso;46444.15234375;4200;11058.12988281
1735;MINAS GERAIS;São João da Ponte;109678.1484375;26983;4064.70996094
1736;PIAUÍ;José de Freitas;153536.328125;36485;4208.20019531
1737;PERNAMBUCO;Pesqueira;290683.65625;64454;4509.93994141
1738;GOIÁS;Água Limpa;24790.08984375;2111;11743.29003906
1739;GOIÁS;Cromínia;36729.203125;3729;9849.61035156
1740;AMAZONAS;Tonantins;67153.0078125;20286;3310.31005859
1741;RIO GRANDE DO NORTE;Canguaretama;144216.40625;30541;4722.06005859
1742;SANTA CATARINA;Biguaçu;1205661.0;56395;21378.859375
1743;BAHIA;Lafaiete Coutinho;17013.38867188;3502;4858.18994141
1744;MINAS GERAIS;José Raydan;24955.75195312;4412;5656.33984375
1745;MINAS GERAIS;Maripá de Minas;19717.74804688;2981;6614.47021484
1746;RORAIMA;Alto Alegre;141954.3125;14205;9993.25976562
1747;PIAUÍ;Cajazeiras do Piauí;10104.80957031;3323;3040.87011719
1748;SANTA CATARINA;Tubarão;1591460.375;96529;16486.859375
1749;SÃO PAULO;União Paulista;35924.9140625;1522;23603.75
1750;RIO GRANDE DO SUL;Canela;370663.5625;41115;9015.29003906
1751;MINAS GERAIS;Divisa Nova;44721.078125;5828;7673.49023438
1752;PARANÁ;Paraíso do Norte;102151.6015625;11939;8556.12988281
1753;MINAS GERAIS;Oliveira;342731.84375;39214;8740.04003906
1754;BAHIA;Taperoá;80988.609375;19388;4177.25
1755;SÃO PAULO;Ipuã;204742.140625;15883;12890.65039062
1756;PARANÁ;Cândido de Abreu;182986.6875;18100;10109.75976562
1757;GOIÁS;Cristalina;901832.5;38504;23421.7890625
1758;RIO GRANDE DO NORTE;Macaíba;708533.8125;66380;10673.91015625
1759;BAHIA;Santa Luzia;51422.97265625;15613;3293.60009766
1760;PARANÁ;São Miguel do Iguaçu;452659.625;26451;17113.140625
1761;RIO GRANDE DO NORTE;Major Sales;15742.34960938;3631;4335.54003906
1762;MINAS GERAIS;Estiva;97946.8125;11426;8572.28027344
1763;MINAS GERAIS;Bandeira do Sul;31063.99609375;5330;5828.14013672
1764;SÃO PAULO;Cosmorama;86788.875;7033;12340.24023438
1765;SERGIPE;Feira Nova;32150.49804688;5875;5472.43017578
1766;SANTA CATARINA;Penha;252274.234375;22263;11331.54980469
1767;ACRE;Santa Rosa do Purus;28091.17382812;4358;6445.89013672
1768;SÃO PAULO;Mirassolândia;34264.3203125;4396;7794.43017578
1769;PIAUÍ;Currais;34505.06640625;4710;7325.91992188
1770;TOCANTINS;Monte do Carmo;88327.65625;6723;13138.12988281
1771;GOIÁS;Palestina de Goiás;42713.81640625;3317;12877.24023438
1772;MINAS GERAIS;Marmelópolis;19299.72265625;3156;6115.25
1773;PARANÁ;Santo Antônio da Platina;426821.1875;42002;10161.9296875
1774;RIO GRANDE DO SUL;Fazenda Vilanova;148094.75;3248;45595.671875
1775;PERNAMBUCO;Ribeirão;211137.0625;39317;5370.12011719
1776;PARANÁ;Cambé;1529310.625;97329;15712.79980469
1777;CEARÁ;Uruoca;41727.48046875;13820;3019.35009766
1778;SANTA CATARINA;Vargeão;61478.05078125;3685;16683.3203125
1779;SÃO PAULO;São Miguel Arcanjo;371031.375;31329;11843.0703125
1780;ESPIRITO SANTO;Cachoeiro de Itapemirim;2399003.25;201259;11919.98046875
1781;RIO GRANDE DO SUL;São Martinho;78099.75;5910;13214.84960938
1782;GOIÁS;São Miguel do Araguaia;217922.734375;23142;9416.75976562
1783;MINAS GERAIS;Tarumirim;75479.171875;14585;5175.12011719
1784;SÃO PAULO;Bocaina;175754.640625;11028;15937.12988281
1785;PARANÁ;Uraí;108368.859375;11774;9204.08007812
1786;RIO GRANDE DO NORTE;Doutor Severiano;26936.34179688;6616;4071.38989258
1787;MATO GROSSO DO SUL;Naviraí;693041.5625;45627;15189.29003906
1788;SÃO PAULO;Atibaia;2625614.75;126757;20713.76953125
1789;MINAS GERAIS;Mamonas;25831.9375;6485;3983.34008789
1790;PIAUÍ;São Francisco do Piauí;20146.16015625;6461;3118.12011719
1791;RIO GRANDE DO SUL;Vila Maria;109764.3515625;4299;25532.52929688
1792;PIAUÍ;Francinópolis;17245.60742188;5458;3159.68994141
1793;BAHIA;Conceição do Coité;292867.1875;62893;4656.58984375
1794;BAHIA;Biritinga;53547.6875;14260;3755.10009766
1795;ESPIRITO SANTO;Conceição da Barra;401526.25;27059;14838.91992188
1796;BAHIA;Ibipeba;58437.6796875;17666;3307.91992188
1797;GOIÁS;Joviânia;82713.7421875;6914;11963.23046875
1798;PARAÍBA;Campina Grande;3894133.5;383764;10147.20996094
1799;BAHIA;Anagé;74545.8046875;25262;2950.90991211
1800;BAHIA;Irecê;415895.0;66061;6295.62011719
1801;BAHIA;Medeiros Neto;148739.390625;22752;6537.41992188
1802;PIAUÍ;Ilha Grande;34292.40625;8734;3926.31005859
1803;SÃO PAULO;Boracéia;89564.65625;4439;20176.76953125
1804;BAHIA;Planalto;110698.2578125;22151;4997.43994141
1805;GOIÁS;Ipiranga de Goiás;26288.5234375;2906;9046.29003906
1806;MINAS GERAIS;Baldim;67873.515625;8582;7908.81982422
1807;SÃO PAULO;Praia Grande;2780735.25;249551;11142.95019531
1808;GOIÁS;Marzagão;21822.19921875;2157;10116.91992188
1809;PARÁ;Porto de Moz;76142.9296875;28091;2710.58007812
1810;MATO GROSSO DO SUL;Costa Rica;414671.5;19228;21566.01953125
1811;PIAUÍ;Alvorada do Gurguéia;27634.43945312;5209;5305.12988281
1812;SÃO PAULO;Jardinópolis;487728.96875;37471;13016.16992188
1813;PARANÁ;Presidente Castelo Branco;39173.65234375;4934;7939.52978516
1814;PARANÁ;Curitiba;45762420.0;1851215;24720.2109375
1815;SÃO PAULO;Estrela d'Oeste;428017.0;9042;47336.5390625
1816;MINAS GERAIS;São Joaquim de Bicas;308069.5;23986;12843.71972656
1817;RIO GRANDE DO SUL;Coxilha;79944.40625;2997;26674.81054688
1818;MINAS GERAIS;Icaraí de Minas;44507.5625;10934;4070.57006836
1819;SÃO PAULO;Rubiácea;57313.17578125;2661;21538.2109375
1820;SANTA CATARINA;Passos Maia;60104.18359375;4555;13195.20996094
1821;RIO DE JANEIRO;Cambuci;168745.65625;14770;11424.88964844
1822;BAHIA;Salinas da Margarida;62426.8046875;14194;4398.10986328
1823;ALAGOAS;Olivença;33409.52734375;10865;3074.9699707
1824;RIO GRANDE DO SUL;Chapada;190121.703125;9673;19654.88085938
1825;TOCANTINS;Porto Alegre do Tocantins;15878.50195312;2968;5349.89990234
1826;BAHIA;Capim Grosso;121918.3125;27158;4489.22021484
1827;MATO GROSSO;Vale de São Domingos;32239.96875;2955;10910.30957031
1828;SÃO PAULO;Valparaíso;327024.03125;22514;14525.36035156
1829;MINAS GERAIS;Santana do Jacaré;34777.21484375;4716;7374.29980469
1830;SÃO PAULO;Agudos;753584.625;36188;20824.16015625
1831;PIAUÍ;Nossa Senhora dos Remédios;23638.20117188;8378;2821.45996094
1832;BAHIA;Juazeiro;1745979.625;243896;7158.70996094
1833;MINAS GERAIS;Lamim;16759.16015625;3654;4586.52001953
1834;BAHIA;Dom Basílio;84668.9140625;11620;7286.47998047
1835;MINAS GERAIS;Periquito;42513.58984375;7161;5936.81982422
1836;RIO GRANDE DO SUL;São Lourenço do Sul;528960.375;43388;12191.40039062
1837;PARAÍBA;Cuité de Mamanguape;40357.0546875;6737;5990.35986328
1838;SÃO PAULO;Tupi Paulista;151365.1875;14389;10519.50976562
1839;RIO GRANDE DO SUL;Serafina Corrêa;328562.90625;14733;22301.15039062
1840;SANTA CATARINA;Laguna;442331.40625;51691;8557.21972656
1841;GOIÁS;Teresina de Goiás;14530.07128906;2915;4984.58984375
1842;SÃO PAULO;Caiabu;32694.49609375;4131;7914.43017578
1843;PARAÍBA;Marizópolis;23577.13867188;6457;3651.40991211
1844;TOCANTINS;Fortaleza do Tabocão;67903.1875;2149;31597.58007812
1845;RIO GRANDE DO NORTE;São Miguel;99753.359375;23593;4228.08984375
1846;RIO GRANDE DO NORTE;Augusto Severo;39951.48046875;9203;4341.14013672
1847;MATO GROSSO DO SUL;Laguna Carapã;114866.703125;6031;19046.05078125
1848;MARANHÃO;São Luís;15337347.0;997098;15381.99023438
1849;MINAS GERAIS;São Sebastião do Maranhão;43979.26953125;12099;3634.94995117
1850;TOCANTINS;São Sebastião do Tocantins;19921.65429688;4441;4485.85009766
1851;MATO GROSSO DO SUL;Mundo Novo;175220.859375;16506;10615.58984375
1852;PARANÁ;Tibagi;324484.21875;19421;16707.91015625
1853;SÃO PAULO;Itatinga;226146.0625;19085;11849.41015625
1854;SÃO PAULO;Ribeirão Grande;82653.4609375;6992;11821.15039062
1855;MARANHÃO;Sucupira do Riachão;15975.88769531;4869;3281.13989258
1856;RIO GRANDE DO NORTE;Alexandria;61343.26953125;14151;4334.91015625
1857;MATO GROSSO;Jauru;125273.625;10748;11655.53027344
1858;BAHIA;Saúde;41634.6484375;12355;3369.86010742
1859;MINAS GERAIS;Pai Pedro;26079.7265625;6217;4194.91015625
1860;SÃO PAULO;Echaporã;75944.7265625;6239;12172.58007812
1861;MATO GROSSO;Nova Lacerda;73640.671875;5252;14021.45019531
1862;SÃO PAULO;Ibirá;110655.3046875;11141;9932.25976562
1863;SANTA CATARINA;Sangão;127265.7109375;11121;11443.73046875
1864;PARAÍBA;Queimadas;194858.921875;40323;4832.45019531
1865;RIO GRANDE DO SUL;Paraí;130695.2578125;6979;18726.9296875
1866;RIO GRANDE DO SUL;Vale Real;48317.95703125;5031;9604.04980469
1867;PARAÍBA;Alagoinha;48926.3515625;13470;3632.25
1868;BAHIA;Caraíbas;32104.37109375;10495;3059.02001953
1869;BAHIA;Laje;128748.09375;22180;5804.68994141
1870;MINAS GERAIS;Campestre;193952.3125;20854;9300.48046875
1871;RIO GRANDE DO SUL;Palmitinho;75226.9296875;7134;10544.84960938
1872;RONDÔNIA;Rolim de Moura;520219.5625;50499;10301.58007812
1873;RIO DE JANEIRO;Valença;756277.1875;75819;9974.76953125
1874;GOIÁS;Campinaçu;29268.20703125;3908;7489.31005859
1875;SANTA CATARINA;Itapema;498226.28125;36629;13601.95996094
1876;RIO GRANDE DO SUL;Santana da Boa Vista;83511.515625;8891;9392.80957031
1877;RIO GRANDE DO SUL;Sede Nova;42928.94140625;2996;14328.75
1878;ESPIRITO SANTO;Brejetuba;112031.0859375;11097;10095.62011719
1879;RIO GRANDE DO NORTE;Francisco Dantas;14319.33789062;3008;4760.41992188
1880;RIO GRANDE DO SUL;Gramado Xavier;42941.70703125;4124;10412.63964844
1881;SÃO PAULO;Itupeva;1736231.125;42458;40892.91015625
1882;PARANÁ;Nova Tebas;54613.16796875;8283;6593.39990234
1883;PARANÁ;Santo Antônio do Caiuá;26489.55859375;2733;9692.48046875
1884;SANTA CATARINA;Pedras Grandes;66016.4921875;4515;14621.58984375
1885;MINAS GERAIS;Berilo;55482.6015625;13717;4044.81005859
1886;SÃO PAULO;Penápolis;890737.9375;59597;14946.01953125
1887;MATO GROSSO;Várzea Grande;3000096.0;240038;12498.41992188
1888;GOIÁS;Itapuranga;192856.984375;25170;7662.18017578
1889;CEARÁ;Carnaubal;65062.3125;16755;3883.15991211
1890;RIO GRANDE DO NORTE;Santana do Seridó;15413.375;2858;5393.06005859
1891;BAHIA;Lajedinho;19471.34375;4468;4357.95996094
1892;PARANÁ;Cantagalo;112364.609375;12733;8824.6796875
1893;ALAGOAS;Barra de Santo Antônio;53292.31640625;14435;3691.87988281
1894;RIO GRANDE DO NORTE;São Rafael;39029.37890625;8357;4670.25976562
1895;GOIÁS;Mundo Novo;56638.41796875;6787;8345.12988281
1896;PIAUÍ;São José do Divino;20682.10351562;5217;3964.37011719
1897;RIO GRANDE DO SUL;Vacaria;926080.9375;62831;14739.24023438
1898;PERNAMBUCO;Itapissuma;558914.875;24406;22900.72070312
1899;MINAS GERAIS;Juvenília;28661.23828125;6321;4534.29003906
1900;MARANHÃO;Presidente Vargas;33425.34375;10191;3279.88989258
1901;PARAÍBA;Natuba;45638.9375;10495;4348.64013672
1902;RIO GRANDE DO SUL;Fortaleza dos Valos;123020.5;4635;26541.640625
1903;RONDÔNIA;Teixeirópolis;54467.28515625;5010;10871.70996094
1904;ESPIRITO SANTO;Marechal Floriano;184262.125;13302;13852.20996094
1905;RIO GRANDE DO SUL;Antônio Prado;234290.609375;14274;16413.80078125
1906;RIO GRANDE DO SUL;Carazinho;919009.875;60388;15218.41992188
1907;PARAÍBA;Riacho dos Cavalos;29296.59179688;8301;3529.2800293
1908;CEARÁ;Potiretama;25400.77148438;6891;3686.08007812
1909;SÃO PAULO;João Ramalho;51556.1796875;4344;11868.37011719
1910;PARANÁ;Vitorino;146640.046875;6531;22452.91992188
1911;PIAUÍ;São Pedro do Piauí;48489.2109375;13544;3580.12011719
1912;PARAÍBA;Algodão de Jandaíra;11251.95605469;2425;4639.97998047
1913;PARANÁ;Marmeleiro;133879.640625;13463;9944.25976562
1914;SANTA CATARINA;Celso Ramos;32284.01757812;2720;11869.12011719
1915;CEARÁ;Tabuleiro do Norte;137984.875;29576;4665.43017578
1916;SANTA CATARINA;Treze Tílias;316423.46875;6004;52702.109375
1917;MARANHÃO;Bom Jesus das Selvas;121741.4453125;25473;4779.22998047
1918;GOIÁS;Goianápolis;60013.33984375;11663;5145.62011719
1919;SANTA CATARINA;Botuverá;80997.3125;4345;18641.5
1920;BAHIA;Quijingue;92821.9609375;28143;3298.22998047
1921;MINAS GERAIS;Miradouro;148854.140625;10648;13979.54003906
1922;SANTA CATARINA;Vidal Ramos;109334.2265625;6112;17888.44921875
1923;MINAS GERAIS;Ubá;1088261.375;99708;10914.48046875
1924;ALAGOAS;Boca da Mata;152409.21875;26030;5855.14013672
1925;PARAÍBA;Boa Ventura;21960.3359375;5905;3718.93994141
1926;MINAS GERAIS;Pains;127580.828125;8476;15052.00976562
1927;SANTA CATARINA;São João Batista;343808.21875;24419;14079.54003906
1928;GOIÁS;Pontalina;172800.28125;16687;10355.37988281
1929;AMAZONAS;Boca do Acre;149755.40625;31221;4796.62011719
1930;PIAUÍ;Porto;32157.57226562;11941;2693.04003906
1931;BAHIA;Jucuruçu;64516.0703125;10516;6135.04003906
1932;MINAS GERAIS;Carangola;236816.796875;33182;7136.91015625
1933;MINAS GERAIS;Campos Altos;186775.015625;13719;13614.33007812
1934;RIO GRANDE DO SUL;Lajeado;1810064.5;72208;25067.36914062
1935;MINAS GERAIS;Bom Jardim de Minas;45720.21484375;6657;6867.99023438
1936;ALAGOAS;Porto Calvo;131020.25;26044;5030.72998047
1937;PARAÍBA;Junco do Seridó;25847.86132812;6731;3840.12011719
1938;SÃO PAULO;Cubatão;5786553.0;129582;44655.53125
1939;SÃO PAULO;Peruíbe;614539.25;57686;10653.1796875
1940;PARANÁ;Cruzeiro do Oeste;275256.84375;20856;13197.96972656
1941;MATO GROSSO DO SUL;Rio Brilhante;600119.8125;27903;21507.359375
1942;PARÁ;Igarapé-Açu;106980.84375;35241;3035.68994141
1943;SÃO PAULO;Natividade da Serra;45157.06640625;7674;5884.41992188
1944;SANTA CATARINA;Grão Pará;114630.8203125;6278;18259.13085938
1945;SANTA CATARINA;Quilombo;229696.15625;11259;20401.11914062
1946;RIO GRANDE DO NORTE;Várzea;22491.91796875;5475;4108.10986328
1947;RIO GRANDE DO SUL;Rolante;218809.78125;20306;10775.62011719
1948;PARÁ;Ourilândia do Norte;218164.859375;21327;10229.50976562
1949;TOCANTINS;Conceição do Tocantins;25153.91992188;4541;5539.29003906
1950;ESPIRITO SANTO;São José do Calçado;72256.3984375;10965;6589.72998047
1951;SANTA CATARINA;Santa Rosa do Sul;85683.1484375;8241;10397.1796875
1952;RIO GRANDE DO SUL;Três Passos;350329.9375;23911;14651.41015625
1953;SÃO PAULO;Ribeirão do Sul;56512.4609375;4663;12119.33007812
1954;GOIÁS;Padre Bernardo;160105.703125;28012;5715.60986328
1955;SÃO PAULO;Nova Guataporanga;15150.56835938;2184;6937.06982422
1956;MINAS GERAIS;São Sebastião da Vargem Alegre;26006.234375;2877;9039.36035156
1957;CEARÁ;Farias Brito;64205.171875;19605;3274.93994141
1958;MATO GROSSO;Reserva do Cabaçal;23329.37109375;2598;8979.74023438
1959;PARÁ;Nova Ipixuna;53906.359375;15097;3570.66992188
1960;SANTA CATARINA;Cocal do Sul;312452.71875;15229;20516.9609375
1961;MATO GROSSO;Rosário Oeste;203422.328125;18497;10997.58007812
1962;MARANHÃO;Primeira Cruz;32579.3203125;12493;2607.81005859
